12. Internationale Sportnacht Davos 2014 (15270431697) cropped.jpg	12. Internationale Sportnacht Davos from Davos, Sc... | Wikimedia Commons | CC BY-SA 2.0
12-07-17-landtagsprojekt-bayern-RalfR-001.jpg	Ralf Roletschek | Wikimedia Commons | CC BY-SA 3.0 de
12-08 Wacken Björn Högsdal 01.jpg	Achim Raschka  | Wikimedia Commons | CC BY-SA 4.0
13. Internationales Management-Gespräch-Frederic Vester und Willy Linder-HSGN 028-00546.jpg	Regina Kühne  | Wikimedia Commons | CC BY-SA 4.0
13th Duke of Bedford 4 Allan Warren.jpg	Allan warren | Wikimedia Commons | CC BY-SA 3.0
13-02-26--wiesbaden-landtag-by-RalfR-055.jpg	Ralf Roletschek | Wikimedia Commons | CC BY-SA 3.0 de
13-06-07 RaR Orsons Maeckes 04.jpg	Achim Raschka  | Wikimedia Commons | CC BY-SA 4.0
13-07-20 Amphi Christian von Aster 02.jpg	Achim Raschka  | Wikimedia Commons | CC BY-SA 4.0
13-10-25-landtag-sachsen-innen-by-RalfR-037.jpg	Ralf Roletschek | Wikimedia Commons | CC BY 3.0
13-11-02-olb-by-RalfR-03.jpg	Ralf Roletschek | Wikimedia Commons | CC BY 3.0
13-11-12-rechtsmedizin-berlin-charite-by-RalfR-02.jpg	Ralf Roletschek | Wikimedia Commons | FAL
14 Thomas Kohl 1.JPG	Warburg | Wikimedia Commons | CC BY-SA 3.0
14-01-10-tbh-005.jpg	Ralf Roletschek | Wikimedia Commons | CC BY 3.0
14-01-10-tbh-221.JPG	Ralf Roletschek | Wikimedia Commons | CC BY 3.0
14-01-10-tbh-260-katarina-witt.jpg	Ralf Roletschek | Wikimedia Commons | CC BY 3.0
14-01-10-tbh-261-dieter-kuerten.jpg	Ralf Roletschek | Wikimedia Commons | CC BY 3.0
14-01-27-landtag-brandenburg-RalfR-126.jpg	Ralf Roletschek | Wikimedia Commons | CC BY-SA 3.0
14.8.80. Jean Guilaine (1980) - 53Fi5371.jpg	André Cros | Wikimedia Commons | CC BY-SA 4.0
15. David Pinsent.jpg	David Pinsent | Wikimedia Commons | Public domain
15-06-07-Schweriner-Schloß-RalfR-n3s 7861a.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
15-06-07-Weltkulturerbe-Schwerin-RalfR-n3s 7634.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
15-07-30 Rocken am Brocken OK Kid 15.jpg	Kai kestner | Wikimedia Commons | CC BY-SA 4.0
016 Frank-Immo-Zichner 2015-05-30.jpg	Bettina Straub | Wikimedia Commons | CC BY-SA 4.0
